"OBJECTID,N,9,0","SEG_NAME,C,100","SEG_CODE,N,9,0","ONS_FORM,C,5","ONS_COM,C,100","BAK_FORM,C,5","BAK_ELEV,N,15,11","BAK_EL_DQ,C,5","BAK_MAT1,C,5","BAK_MAT2,C,5","BAK_COM,C,100","SHO_FORM,C,5","BEA_FORM,C,5","SHO_MAT1,C,5","SHO_MAT2,C,5","SHO_COM,C,100","DEP_CLOS,N,13,11","ISO_2M,N,17,11","ISO_5M,N,17,11","ISO_10M,N,17,11","ISO_100M,N,19,11","OFF_MAT,C,5","ICE1,C,5","ICE2,N,14,11","ICE2_DQ,C,5","ICE_COM,C,100","RATE,N,15,11","RATE_INT,C,50","RATE_DQ,C,5","DYN_PROC,C,5","BULK_DEN,N,13,11","BULKD_DQ,C,5","OC,N,14,11","OC_DQ,C,5","SOC,N,15,11","SOC_DQ,C,5","SOURCES,C,100","COMMENTS,C,100","COM_DQ,C,100","CONTACT,C,50","MAPPERS,C,100","SEA_NAME,C,50","SEA_CODE,N,9,0","SEG_NO,N,9,0","OLD_NO,N,9,0","SEG_COM,C,100","SHAPE_LENG,N,19,11","SHAPE_AREA,N,19,11",SegLen
1,Singeak,120060,l,lowland,,4.50000000000,h,u,s,exposed unlithified coast,b,f,u,s,,0.00000000000,10.00000000000,2000.00000000000,5000.00000000000,500000.00000000000,s,m,25.00000000000,l,,-0.75000000000,37 years,h,s,1.20000000000,l,4.00000000000,l,173.00000000000,l,,,,Jim Jordan,"Torre Jorgenson, Frits Steenhuisen, Hugues Lantuit",US Chukchi Sea,12,60,6,'carbon and ice profiles roughly estimated',1.50633700763,0.04675963670,31944.0645648717
2,C. Espenburg Strand Plain,120070,l,lowland,,5.00000000000,h,u,ms,accretionary beach ridges and transgressive dunes,b,f,u,s,,0.00000000000,10.00000000000,2000.00000000000,5000.00000000000,500000.00000000000,s,p,2.00000000000,l,,-0.30000000000,37 years,h,es,1.40000000000,l,0.50000000000,l,35.00000000000,l,,,,Jim Jordan,"Torre Jorgenson, Frits Steenhuisen, Hugues Lantuit",US Chukchi Sea,12,70,7,"'erosion rate, carbon and ice profiles roughly estimated'",1.16785746895,0.04391673115,86184.8521711183
3,C. Espenburg Lagoon,120080,ld,lowland/delta,,2.00000000000,m,u,mso,lagoon,b,f,u,sm,,0.00000000000,50.00000000000,2000.00000000000,5000.00000000000,500000.00000000000,m,m,25.00000000000,l,,0.50000000000,37 years,m,e,0.80000000000,l,8.00000000000,l,102.00000000000,l,,,,Jim Jordan,"Torre Jorgenson, Frits Steenhuisen, Hugues Lantuit",US Chukchi Sea,12,80,8,"'erosion rate, carbon and ice profiles roughly estimated'",1.01240501576,0.03393495374,23075.4122143713
4,Espenburg Lowland,120090,l,lowland,,3.20000000000,h,u,mo,exposed unlithified coast,b,f,u,s,,0.00000000000,10.00000000000,2000.00000000000,5000.00000000000,500000.00000000000,ms,m,25.00000000000,l,,-0.60000000000,37 years,h,es,1.20000000000,l,4.00000000000,l,123.00000000000,l,,,,Jim Jordan,"Torre Jorgenson, Frits Steenhuisen, Hugues Lantuit",US Chukchi Sea,12,90,9,'carbon and ice profiles roughly estimated',2.24486262937,0.11080202468,153769.858345636
5,Good Hope River Delta,120100,ld,lowland/delta,,0.50000000000,h,u,m,delta,x,f,u,sm,,0.00000000000,300.00000000000,3000.00000000000,5000.00000000000,500000.00000000000,msg,l,6.00000000000,l,,-0.50000000000,37 years,m,s,1.40000000000,l,2.00000000000,l,13.00000000000,l,,,,Jim Jordan,"Torre Jorgenson, Frits Steenhuisen, Hugues Lantuit",US Chukchi Sea,12,100,10,"'erosion rate, carbon and ice profiles roughly estimated'",0.43396691395,0.00811236603,14725.3352576575
6,Sullivan Bluffs,120110,u,upland,,10.00000000000,l,l,,exposed rocky coast,b,f,u,sg,,0.00000000000,10.00000000000,2000.00000000000,5000.00000000000,500000.00000000000,msg,p,0.00000000000,l,,0.00000000000,37 years,m,s,2.00000000000,l,0.01000000000,l,2.00000000000,l,,,,Jim Jordan,"Torre Jorgenson, Frits Steenhuisen, Hugues Lantuit",US Chukchi Sea,12,110,11,'carbon and ice profiles roughly estimated',0.89904820230,0.02912795655,23363.013563776
7,Sullivan Creek,120120,ld,lowland/spit/delta,,3.00000000000,m,,s,seasonal spit built across creek mouth,b,s,u,sg,,0.00000000000,10.00000000000,2000.00000000000,5000.00000000000,500000.00000000000,msg,p,2.00000000000,l,,0.50000000000,37 years,m,s,1.40000000000,l,2.00000000000,l,83.00000000000,l,,,,Jim Jordan,"Torre Jorgenson, Frits Steenhuisen, Hugues Lantuit",US Chukchi Sea,12,120,12,"'erosion rate, carbon and ice profiles roughly estimated'",0.64074364696,0.01758825865,12488.7714137369
8,Enmakay Cape - Etakun Mounta,100010,,,,4.00000000000,l,l,,,b,,,sg,"Lagoons, barrier islands, spit",0.00000000000,300.00000000000,500.00000000000,1100.00000000000,643000.00000000000,,l,10.00000000000,l,,0.00000000000,,l,a,1.70000000000,l,0.50000000000,l,0.00000000000,,,,,Mikhail Grigoriev,"Mikhail Grigoriev, Sergey Sedenko, Hugues Lantuit",Chukchi Sea,10,10,6,"Sand, gravel, pebble",4.05838889683,0.17357226123,179791.676369861
9,Yakan Cape - Enmakay Cape,100020,,,,10.00000000000,l,l,,,c,,,s,"Thermo abrasion cliffs, lagoon",0.00000000000,200.00000000000,400.00000000000,1000.00000000000,515000.00000000000,,m,40.00000000000,l,,2.50000000000,,l,e,1.40000000000,l,3.00000000000,l,0.00000000000,,,,,Mikhail Grigoriev,"Mikhail Grigoriev, Sergey Sedenko, Hugues Lantuit",Chukchi Sea,10,20,5,"Loamy sand,sand, silt, gravel",1.92842740232,0.06202444857,41257.2799763592
10,Uelen Cape - Dezhnev Cape,110010,,,,110.00000000000,l,l,,,c,,,gs,"Rock cliffs, pebble beachs",0.00000000000,50.00000000000,100.00000000000,300.00000000000,0.00000000000,,p,0.00000000000,l,,0.00200000000,,l,e,0.20000000000,l,2.00000000000,l,0.00000000000,,,,,Mikhail Grigoriev,"Mikhail Grigoriev, Sergey Sedenko, Hugues Lantuit",Chukchi Sea,11,10,31,"Rock, pebble, gravel, sand",1.00570658180,0.04134802948,31104.7112073221
11,Irgutunnen Cape - Uelen Cape,110020,,,,2.00000000000,l,l,,,b,,,sg,"Barrier island, spit, lagoon",0.00000000000,50.00000000000,100.00000000000,500.00000000000,0.00000000000,,l,5.00000000000,l,,0.00000000000,,l,a,1.70000000000,l,0.10000000000,l,0.00000000000,,,,,Mikhail Grigoriev,"Mikhail Grigoriev, Sergey Sedenko, Hugues Lantuit",Chukchi Sea,11,20,30,"Sand, gravel, pebble",0.97249615737,0.02925549536,46829.7959136707
12,Inchoun Cape - Irgutunnen Cape,110030,,,,120.00000000000,l,l,,,c,,,g,Rocky cliffs,0.00000000000,50.00000000000,100.00000000000,500.00000000000,0.00000000000,,p,1.00000000000,l,,0.00500000000,,l,e,2.00000000000,l,0.10000000000,l,0.00000000000,,,,,Mikhail Grigoriev,"Mikhail Grigoriev, Sergey Sedenko, Hugues Lantuit",Chukchi Sea,11,30,29,"Rock, pebble beachs",0.79252457141,0.02500939345,27356.0128056741
13,Uniken Cape - Inchoun Cape,110040,,,,1.00000000000,l,l,,,b,,,sg,"Lagoons, barrier islands, spits",0.00000000000,50.00000000000,100.00000000000,500.00000000000,0.00000000000,,l,10.00000000000,l,,0.00000000000,,l,a,1.70000000000,l,0.50000000000,l,0.00000000000,,,,,Mikhail Grigoriev,"Mikhail Grigoriev, Sergey Sedenko, Hugues Lantuit",Chukchi Sea,11,40,28,"Loamy sand, sand, gravel",1.00186889653,0.02706734814,22929.6958224424
14,Ninvyran Cape - Uniken Cape,110050,,,,50.00000000000,l,l,,,c,,,gs,"Rocky cliffs, pebble beachs",0.00000000000,100.00000000000,200.00000000000,600.00000000000,0.00000000000,,p,1.00000000000,l,,0.01000000000,,l,e,2.00000000000,l,0.10000000000,l,0.00000000000,,,,,Mikhail Grigoriev,"Mikhail Grigoriev, Sergey Sedenko, Hugues Lantuit",Chukchi Sea,11,50,27,"Rock, crushed stone, pebble, sand",3.19714158375,0.13563376031,106202.68098835
15,Netteveem River Mouth - Ninvyran Cape,110060,,,,14.00000000000,l,l,,,x,,,sg,"Cliffs, sand banks,  beachs",0.00000000000,100.00000000000,200.00000000000,600.00000000000,0.00000000000,,l,15.00000000000,l,,0.50000000000,,l,e,1.70000000000,l,1.00000000000,l,0.00000000000,,,,,Mikhail Grigoriev,"Mikhail Grigoriev, Sergey Sedenko, Hugues Lantuit",Chukchi Sea,11,60,26,"Loamy sand, sand, gravel",0.86009483700,0.02199241379,19569.0091566764
16,Jenretlen Cape - Netteveem Ricer Mouth,110070,,,,7.00000000000,l,l,,,b,,,sg,"Barrier islands, spits, lagoon",0.00000000000,100.00000000000,150.00000000000,900.00000000000,0.00000000000,,l,15.00000000000,l,,0.00000000000,,l,a,1.60000000000,l,0.80000000000,l,0.00000000000,,,,,Mikhail Grigoriev,"Mikhail Grigoriev, Sergey Sedenko, Hugues Lantuit",Chukchi Sea,11,70,25,"Loamy sand, gravel, pebble",3.65082906776,0.12623896052,141889.804363506
17,Belyaka Lagoon - Jenretlen Cape,110080,,,,12.00000000000,l,u,,,x,,,sg,"Termo abrasion cliffs, sand bars",0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,l,15.00000000000,l,,1.00000000000,,l,e,1.60000000000,l,1.50000000000,l,0.00000000000,,,,,Mikhail Grigoriev,"Mikhail Grigoriev, Sergey Sedenko, Hugues Lantuit",Chukchi Sea,11,80,24,"Loamy sand, gravel, pebble",1.18840598124,0.03645645153,26410.1441775945
18,Notatken Cape - Belyaka Lagoon,110090,,,,6.00000000000,l,u,,,b,,,sg,"Spits, sand banks, lagoons",0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,l,10.00000000000,l,,0.00000000000,,l,a,1.60000000000,l,1.00000000000,l,0.00000000000,,,,,Mikhail Grigoriev,"Mikhail Grigoriev, Sergey Sedenko, Hugues Lantuit",Chukchi Sea,11,90,23,"Sand, gravel, pebble, silt",1.15943834422,0.05292994411,47816.7611296484
19,Ecmygen Cape - Notatken Cape,110100,,,,16.00000000000,l,u,,,x,,,sg,"Termo abrasion cliffs, spits,",0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,l,15.00000000000,l,,0.20000000000,,l,e,1.70000000000,l,2.00000000000,l,0.00000000000,,,,,Mikhail Grigoriev,"Mikhail Grigoriev, Sergey Sedenko, Hugues Lantuit",Chukchi Sea,11,100,22,"Loamy sand, sand, gravel, pebb",1.63251079149,0.08060572304,71337.9707420364
